"v1.1","v1.2","v1.3","v1.4","v1.5","v1.6","v1.7","v1.8","v1.9","v1.10","v2.1","v2.2","v2.3","v2.4","v2.5","v2.6","v2.7","v2.8","v2.9","v2.10","v3.1","v3.2","v3.3","v3.4","v3.5","v3.6","v3.7","v3.8","v3.9","v3.10","v4.1","v4.2","v4.3","v4.4","v4.5","v4.6","v4.7","v4.8","v4.9","v4.10","v5.1","v5.2","v5.3","v5.4","v5.5","v5.6","v5.7","v5.8","v5.9","v5.10","v6.1","v6.2","v6.3","v6.4","v6.5","v6.6","v6.7","v6.8","v6.9","v6.10","v1","v2","v3","v4","v5","v6"
3,3,2,2,3,4,3,3,2,3,3,3,2,2,2,3,3,3,3,2,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,2,1,2,1,4,1,1,2,3,2,3,3,3,4,3,4,3,3,28,26,26,30,17,31
4,3,2,4,4,5,4,4,4,3,4,4,4,3,3,4,2,2,3,4,1,3,4,3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,2,4,3,2,3,3,3,2,3,3,3,2,3,3,2,3,2,3,2,2,2,2,37,33,27,29,27,24
3,3,2,3,3,2,3,3,2,2,3,3,4,3,4,4,4,2,2,3,2,3,4,3,3,3,3,3,4,3,3,3,4,4,4,3,2,3,3,2,5,5,5,5,5,5,1,5,5,5,3,2,2,3,2,2,2,2,1,2,26,32,31,31,46,21
4,2,2,3,3,2,3,2,3,2,4,4,3,4,4,3,4,3,3,3,4,2,4,3,3,5,3,2,3,3,5,3,4,3,5,3,4,3,5,4,2,3,2,2,2,2,4,2,2,2,3,2,3,3,3,2,2,3,3,2,26,35,32,39,23,26
4,5,4,4,3,4,4,3,5,5,4,4,5,3,3,4,4,4,5,5,3,3,2,4,4,2,3,3,3,3,3,2,3,2,4,3,2,4,3,2,4,5,3,3,3,3,3,3,3,3,2,1,1,3,1,2,2,3,2,2,41,41,30,28,33,19
3,4,1,3,3,4,3,4,2,3,3,3,2,3,3,2,3,3,4,3,2,4,2,2,2,3,3,3,3,2,3,3,3,4,3,2,3,4,3,2,4,4,4,3,4,3,3,4,4,4,3,2,4,4,3,3,2,3,3,3,30,29,26,30,37,30
1,3,2,2,3,3,3,5,3,3,2,3,3,2,2,3,3,2,2,2,3,3,5,4,4,4,3,3,2,3,3,3,3,3,3,3,4,5,4,4,2,2,2,2,3,2,4,2,2,2,3,3,3,4,3,3,2,4,3,3,28,24,34,35,23,31
5,3,3,3,2,3,3,3,4,3,2,3,4,3,3,3,3,2,3,3,4,3,5,4,4,5,4,4,4,4,4,3,4,3,3,3,4,4,4,3,3,4,3,3,4,2,3,3,2,3,4,3,3,4,3,3,3,4,3,4,32,29,41,35,30,34
3,4,3,2,2,2,2,3,3,3,3,2,3,3,2,3,3,3,3,4,4,3,3,3,3,2,3,4,4,4,3,3,2,2,3,2,3,3,2,3,1,1,1,1,1,1,5,1,1,1,4,2,2,2,2,3,1,2,2,2,27,29,33,26,14,22
3,5,2,4,4,2,3,3,3,3,4,3,3,3,4,3,2,2,3,2,3,2,4,2,3,3,2,3,3,4,3,3,5,4,3,3,4,5,3,3,2,2,2,2,2,1,3,2,2,2,3,2,2,3,3,3,3,3,3,2,32,29,29,36,20,27
4,4,4,3,4,3,4,3,2,4,2,3,3,2,3,4,2,3,3,3,4,3,3,2,3,2,3,3,2,4,3,4,3,4,3,4,3,2,3,3,3,3,2,2,3,2,4,2,2,3,2,3,3,3,3,3,3,4,3,2,35,28,29,32,26,29
3,3,3,2,3,3,2,4,3,4,2,2,2,1,1,3,3,3,2,2,2,3,3,2,1,3,3,3,3,2,3,4,4,3,3,4,3,4,4,3,1,2,2,2,2,2,5,2,2,2,3,3,3,3,4,3,3,3,3,2,30,21,25,35,22,30
2,3,2,2,3,3,3,3,2,3,3,2,3,2,4,4,2,3,3,3,5,4,4,3,3,3,4,3,3,4,3,3,4,4,4,4,3,3,3,4,1,2,1,1,2,1,4,2,1,2,3,3,3,3,3,3,3,3,3,3,26,29,36,35,17,30
4,4,3,3,3,4,4,3,2,3,4,3,4,3,4,4,4,3,3,4,2,2,3,3,2,3,3,2,2,4,3,3,4,4,2,4,3,4,3,4,3,3,3,2,3,2,3,2,3,3,4,3,3,4,3,3,3,4,2,3,33,36,26,34,27,32
3,3,3,4,2,3,3,2,3,2,2,4,4,4,4,3,4,4,4,3,3,3,2,3,3,2,3,3,2,2,4,4,5,4,4,3,5,4,2,4,3,4,3,3,3,2,3,2,3,3,2,2,2,2,2,2,2,3,2,3,28,36,26,39,29,22
4,4,3,3,3,3,3,3,2,3,3,3,4,3,2,3,2,4,3,3,2,2,2,1,2,2,3,2,3,3,3,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,5,1,1,2,3,2,3,3,3,3,3,3,3,3,31,30,22,33,15,29
4,4,3,4,3,2,3,4,2,4,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,2,4,3,3,3,4,3,4,3,2,3,2,3,2,3,3,4,2,3,4,3,3,3,3,3,3,2,2,3,2,3,3,3,2,3,33,29,28,29,31,26
4,3,3,3,3,4,3,2,4,4,2,3,3,2,3,3,4,3,3,4,2,3,2,3,1,2,2,3,2,3,3,3,5,3,3,2,3,3,3,3,2,3,2,2,3,2,4,2,2,2,4,4,4,4,4,3,3,4,3,3,33,30,23,31,24,36
3,1,1,2,3,2,2,1,2,2,3,3,5,2,2,3,3,2,2,3,2,2,3,3,2,1,2,3,2,3,4,2,3,4,3,3,3,3,3,3,3,3,3,2,2,3,4,3,3,3,2,2,2,3,3,3,3,3,2,2,19,28,23,31,29,25
2,3,3,3,3,3,2,4,3,3,2,3,3,1,3,3,3,2,2,2,4,3,5,3,4,3,4,4,3,4,3,2,4,2,3,3,3,4,4,2,2,1,1,1,1,1,5,1,2,2,3,3,4,4,4,4,4,5,3,3,29,24,37,30,17,37
3,2,3,2,3,2,3,2,4,3,4,4,4,5,4,5,5,5,5,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4,3,3,4,4,3,5,3,3,3,3,4,3,3,3,2,3,3,3,3,3,2,2,2,3,2,3,27,45,35,38,30,26
3,3,3,2,3,4,3,3,3,3,2,3,2,2,2,3,3,2,3,2,1,2,2,3,2,3,3,2,2,2,5,3,3,5,3,4,4,5,4,4,3,3,2,2,2,2,3,3,2,3,4,3,3,4,3,3,4,3,4,4,30,24,22,40,25,35
4,4,3,3,4,4,3,3,3,3,3,4,4,3,3,3,3,2,3,4,3,3,4,3,4,4,3,4,4,5,4,3,3,3,2,2,3,2,2,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,34,32,37,26,27,29
4,3,3,2,4,5,3,2,2,3,3,4,4,3,4,5,4,3,4,4,4,4,4,3,4,3,4,4,3,4,3,3,4,4,3,3,2,3,3,3,4,4,4,3,4,4,3,3,3,3,2,3,2,2,2,2,2,3,2,2,31,38,37,31,35,22
3,2,3,3,2,2,3,4,3,3,3,3,3,2,2,4,3,2,3,3,2,3,4,2,2,4,2,2,4,2,3,4,3,2,4,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,28,28,27,33,29,28
4,4,3,4,3,3,3,3,3,4,3,4,5,3,2,3,3,4,3,4,2,2,3,2,2,1,3,3,2,1,4,3,3,3,3,4,4,2,3,3,2,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,2,3,3,2,34,34,21,32,27,27
4,3,2,3,3,2,2,3,3,2,3,4,4,3,3,3,3,4,2,4,1,3,3,3,2,3,3,4,3,3,4,3,3,4,4,5,4,4,4,4,3,3,4,3,3,3,3,4,3,3,3,2,2,3,2,2,2,3,3,2,27,33,28,39,32,24
5,4,3,4,4,2,4,3,3,4,3,3,2,3,3,3,2,3,2,2,4,5,5,4,4,4,4,5,4,5,3,3,3,4,3,1,3,3,3,3,2,3,2,2,2,2,4,2,2,3,4,3,4,4,4,4,4,5,5,4,36,26,44,29,24,41
3,3,3,5,5,3,3,4,3,4,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,4,3,4,3,3,2,4,4,3,2,4,4,3,3,4,3,2,2,2,2,2,4,2,2,2,3,2,2,2,3,2,1,2,3,2,36,26,32,33,23,22
4,3,2,1,3,4,3,2,2,3,3,4,3,3,3,3,2,2,1,2,3,3,3,4,3,3,3,3,4,3,4,3,4,4,5,3,4,5,4,4,3,3,2,2,2,2,4,2,2,2,4,3,4,4,4,3,3,3,4,3,27,26,32,40,24,35
5,4,4,3,4,4,3,4,4,5,3,3,2,2,3,3,2,2,2,3,2,3,3,3,3,2,4,3,2,2,2,1,2,1,3,2,2,2,2,2,3,3,1,1,2,1,5,1,2,2,4,3,3,4,3,3,3,4,4,3,40,25,27,19,21,34
3,3,3,1,4,3,3,3,4,3,3,3,4,2,3,4,4,2,3,3,3,4,3,3,4,3,4,3,3,3,4,3,3,3,3,2,3,4,3,3,3,3,3,3,3,2,3,3,3,3,2,2,1,2,2,2,2,2,2,2,30,31,33,31,29,19
3,3,3,3,4,3,2,3,4,3,3,3,4,3,2,2,4,3,3,3,3,3,3,2,4,3,4,4,3,3,3,3,5,4,4,3,3,3,3,4,3,4,3,3,3,3,3,4,3,4,4,3,2,3,3,3,3,4,4,3,31,30,32,35,33,32
3,2,2,1,2,3,3,2,2,2,2,2,2,3,2,2,5,2,2,2,3,2,2,4,1,2,4,3,4,3,2,2,2,3,3,3,2,4,2,3,2,2,2,2,3,2,4,2,1,2,2,2,2,3,2,2,2,2,3,3,22,24,28,26,22,23
4,3,2,2,4,2,3,3,4,3,3,4,4,3,3,3,5,4,3,4,2,4,2,4,3,3,2,3,3,3,4,4,5,4,4,3,2,2,3,2,3,4,3,3,4,4,3,3,3,3,3,2,2,3,3,2,4,3,3,2,30,36,29,33,33,27
3,1,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,3,2,2,2,2,2,2,4,3,4,4,2,3,3,3,4,4,3,4,4,4,4,1,2,1,1,1,1,5,1,1,1,2,1,2,2,2,1,1,2,2,1,17,19,27,36,15,16
3,3,2,2,4,2,3,2,2,2,4,4,4,3,3,4,2,2,3,1,4,3,5,3,4,4,2,3,5,3,3,3,3,3,2,4,3,3,2,3,3,4,3,3,3,3,3,3,3,3,4,3,4,4,4,3,4,4,4,4,25,30,36,29,31,38
4,3,2,3,3,3,3,3,3,4,3,3,4,4,4,4,2,3,3,3,2,3,3,3,4,3,3,3,4,4,3,4,4,2,3,4,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,2,2,2,3,3,3,4,4,2,31,33,32,32,30,28
3,3,3,2,4,3,2,3,3,3,3,3,4,4,3,3,4,3,3,3,2,3,4,3,2,4,3,4,4,3,2,2,3,1,3,2,2,2,2,3,3,3,3,4,4,3,3,3,3,3,2,2,1,2,2,2,2,1,2,2,29,33,32,22,32,18
3,3,3,3,4,3,2,3,2,4,3,2,4,3,3,3,3,3,3,4,3,2,4,2,3,3,4,3,3,3,5,4,4,4,4,3,5,4,3,4,4,4,4,3,4,3,3,3,3,4,3,2,2,3,3,3,2,2,3,3,30,31,30,40,35,26
4,4,3,3,3,4,3,4,3,3,4,2,4,3,3,3,4,2,3,3,4,3,4,2,2,4,3,3,4,3,2,3,1,2,2,2,2,4,3,3,3,4,3,2,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,34,31,32,24,31,32
4,4,3,4,3,3,3,4,2,5,3,3,4,3,2,3,3,2,3,3,4,3,4,3,4,4,5,3,3,3,2,4,2,2,2,3,2,3,2,1,2,3,1,2,2,2,4,2,1,2,3,3,3,3,3,2,3,3,3,3,35,29,36,23,21,29
3,3,3,4,3,4,3,3,4,1,4,4,4,3,2,3,3,2,2,4,2,4,3,3,2,3,3,2,2,4,2,3,3,2,3,2,2,3,1,3,3,2,2,3,3,3,3,3,2,3,3,2,2,2,3,2,2,2,2,2,31,31,28,24,27,22
4,4,3,4,4,3,3,3,3,3,2,3,3,3,3,3,2,4,4,2,4,5,5,4,5,5,3,4,3,5,2,3,4,2,3,2,2,4,2,3,3,4,3,3,4,3,2,3,3,3,5,5,5,5,5,5,5,5,5,5,34,29,43,27,31,50
3,3,2,3,4,3,4,3,3,4,4,4,4,3,3,4,4,4,4,4,2,2,3,2,3,2,4,3,2,2,5,3,4,4,3,4,4,4,4,4,3,3,2,2,3,3,3,2,3,3,3,2,1,3,2,3,2,2,2,2,32,38,25,39,27,22
4,4,2,3,3,4,4,3,4,4,2,3,3,3,3,3,2,2,3,1,3,2,3,2,3,2,4,3,4,3,4,2,4,2,2,3,2,4,2,2,3,3,3,3,3,2,3,3,2,3,3,2,2,3,2,3,2,2,2,2,35,25,29,27,28,23
3,3,3,2,3,2,3,2,3,3,3,3,5,3,3,4,5,3,4,3,3,1,3,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,2,3,3,2,2,27,36,21,26,29,25
3,2,3,1,2,2,3,3,3,3,3,4,3,2,2,4,4,3,3,3,3,3,4,3,2,3,4,3,2,3,2,2,3,3,2,3,2,4,4,3,4,2,3,2,3,2,3,3,3,3,2,2,1,2,3,1,2,3,2,2,25,31,30,28,28,20
4,3,3,4,3,5,3,3,4,3,3,3,3,2,2,3,2,2,2,4,4,3,3,3,3,3,4,2,3,3,3,2,4,2,2,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,2,2,2,3,35,26,31,25,29,25
2,3,2,2,3,5,4,3,2,3,2,2,2,2,3,2,2,2,2,2,2,4,3,4,4,3,4,3,4,4,3,3,2,3,4,3,3,3,2,3,4,5,5,4,4,4,2,4,4,4,4,3,3,4,5,4,4,4,4,4,29,21,35,29,40,39
4,4,2,3,3,3,3,3,3,3,4,3,3,3,3,4,4,2,2,2,2,3,1,3,3,3,3,3,2,3,4,3,3,2,3,3,4,4,3,3,3,4,4,3,4,2,3,3,3,3,2,2,1,2,2,2,2,2,2,1,31,30,26,32,32,18
3,3,3,3,3,2,4,3,3,3,2,3,4,2,3,2,3,2,3,3,4,3,2,2,3,3,3,1,2,2,4,3,4,2,2,3,3,3,2,2,4,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,30,27,25,28,31,30
4,3,3,3,4,2,2,2,3,3,3,3,4,3,3,4,2,3,3,3,2,2,3,2,3,3,2,3,3,2,2,2,5,4,4,4,3,4,2,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,4,3,3,2,29,31,25,33,33,30
3,3,3,3,3,4,3,3,3,4,3,4,3,3,2,3,4,4,2,4,3,4,2,3,4,3,4,3,4,3,2,3,4,2,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,4,3,32,32,33,29,30,34
4,3,3,3,3,3,4,4,1,2,2,4,2,3,3,3,3,3,3,3,2,3,2,3,2,3,2,3,3,3,4,3,4,3,5,3,3,4,5,4,3,4,4,4,4,4,2,4,3,4,2,2,2,2,2,3,2,3,2,2,30,29,26,38,36,22
2,2,3,3,3,2,2,3,3,4,4,4,3,3,3,4,3,4,3,2,2,3,2,3,4,2,2,3,4,4,3,2,3,3,3,3,4,4,2,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,4,3,3,4,3,3,27,33,29,30,32,33
2,2,2,4,4,4,4,4,3,3,3,3,4,3,3,3,5,4,3,4,2,2,1,1,3,2,1,3,2,1,4,4,5,5,5,4,5,4,3,4,2,3,3,2,3,2,3,3,3,3,5,5,5,5,5,5,5,4,5,4,32,35,18,43,27,48
3,3,4,4,4,2,3,2,3,4,3,3,4,4,4,4,5,4,4,3,2,3,2,3,2,3,4,3,2,3,3,2,3,2,3,2,3,3,3,3,4,4,3,4,4,3,2,4,4,4,2,1,1,2,2,2,2,2,2,2,32,38,27,27,36,18
2,2,3,2,1,1,3,2,2,2,3,4,4,2,3,3,4,3,2,5,2,2,2,2,2,2,3,3,3,3,3,3,5,4,5,4,4,5,2,3,3,4,2,2,3,2,4,3,3,3,4,3,3,3,3,4,4,3,4,3,20,33,24,38,29,34
2,3,2,3,1,2,1,3,1,1,4,3,5,4,4,3,4,5,4,4,3,3,3,4,4,3,4,3,3,4,5,5,4,4,4,4,5,4,5,5,4,5,4,4,4,3,3,3,4,3,4,4,4,4,4,4,3,4,3,4,19,40,34,45,37,38
3,3,3,2,3,3,4,3,2,4,3,2,4,2,2,3,3,3,2,3,3,3,3,3,4,2,4,2,3,3,2,1,3,2,3,2,2,3,2,2,3,3,3,4,3,3,3,3,3,4,2,2,2,3,3,2,2,2,3,2,30,27,30,22,32,23
3,4,3,2,2,2,3,4,2,3,2,1,4,1,2,2,4,2,2,4,4,3,2,3,2,3,3,2,3,3,3,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,4,2,2,3,3,2,2,2,3,3,3,3,2,2,28,24,28,23,27,25
4,4,3,4,5,3,4,5,3,4,2,3,5,3,2,4,3,3,3,3,3,3,4,2,3,3,3,3,3,4,3,3,3,2,2,2,3,4,2,2,3,3,3,3,3,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,39,31,31,26,28,21
3,3,2,1,4,2,3,3,4,4,2,3,3,1,1,3,3,2,3,3,4,3,3,2,2,3,1,3,2,3,3,2,3,3,3,4,4,3,3,4,2,3,2,2,3,2,4,2,3,3,4,3,3,3,3,3,3,3,2,3,29,24,26,32,26,30
4,4,3,3,4,3,3,5,2,3,3,3,4,3,2,3,3,2,3,2,3,4,3,3,3,4,3,3,2,3,4,3,4,3,2,4,2,5,3,4,3,4,3,3,3,3,3,3,2,2,3,2,2,3,2,3,2,2,2,2,34,28,31,34,29,23
3,3,2,3,3,3,2,3,3,4,3,2,4,2,3,3,4,3,3,4,4,4,3,3,3,3,5,4,2,3,3,4,3,2,2,3,2,3,3,2,2,2,2,2,3,2,4,2,2,3,3,2,2,2,2,3,2,3,2,3,29,31,34,27,24,24
3,4,2,3,3,2,3,2,2,3,3,3,4,3,2,3,3,3,4,3,3,3,3,3,3,4,2,3,3,3,4,3,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3,27,31,30,33,30,33
3,2,4,2,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,2,2,3,3,2,4,3,3,2,3,2,4,4,4,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,30,29,26,32,29,20
2,3,3,3,3,2,2,2,3,3,3,2,3,2,3,3,3,2,3,2,5,3,5,3,4,3,4,4,3,3,1,3,3,4,4,4,4,2,3,2,2,2,1,2,1,1,4,2,2,1,3,3,3,3,3,2,3,2,3,2,26,26,37,30,18,27
4,3,3,3,3,2,3,3,3,3,3,4,5,4,4,3,3,3,4,4,3,4,3,3,4,3,3,3,3,3,4,3,3,4,4,4,5,5,3,3,4,3,4,3,3,3,2,4,4,3,3,3,4,3,3,3,4,2,3,2,30,37,32,38,33,30
4,3,3,2,5,3,4,4,4,4,4,4,5,4,4,4,5,5,3,5,4,2,3,4,5,3,4,4,4,4,2,2,2,2,2,2,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,36,43,37,23,31,27
4,5,2,3,3,3,3,3,3,4,3,4,3,4,3,5,3,2,3,3,2,3,3,4,3,3,3,4,3,2,2,2,3,3,3,2,1,3,3,1,3,2,3,3,3,3,3,3,2,3,3,1,1,2,2,2,2,3,2,2,33,33,30,23,28,20
2,3,2,2,2,3,2,3,2,3,4,4,4,4,3,3,4,4,3,3,2,3,3,3,4,3,3,3,2,3,4,3,5,4,3,4,5,5,3,3,3,4,3,3,2,3,4,3,2,3,3,3,2,3,3,3,4,3,3,3,24,36,29,39,30,30
4,3,4,3,4,2,3,3,3,3,4,3,4,4,3,3,2,4,4,3,4,3,3,2,4,2,3,3,3,3,3,3,3,3,3,2,4,4,3,3,4,4,4,3,4,4,2,4,4,4,4,3,4,3,4,3,3,3,4,3,32,34,30,31,37,34
3,4,2,2,3,4,3,3,4,2,4,4,5,3,4,3,5,3,3,4,3,3,2,3,2,2,4,4,2,3,2,3,2,3,3,3,2,3,4,2,3,3,3,3,2,3,4,3,3,3,3,2,3,3,3,3,2,3,3,2,30,38,28,27,30,27
5,3,2,3,3,5,4,4,2,3,4,3,3,4,4,4,4,4,3,3,2,3,4,4,3,3,2,3,3,3,4,2,3,4,3,3,3,3,2,4,3,3,3,2,3,2,4,3,2,2,3,3,3,3,3,3,3,2,3,3,34,36,30,31,27,29
4,4,3,3,4,4,3,4,3,5,3,3,3,3,2,3,3,1,2,3,2,3,3,2,3,3,3,3,3,2,3,4,4,3,5,3,4,4,2,4,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,4,4,3,37,26,27,36,32,33
3,4,3,4,5,3,3,3,4,4,3,4,5,4,3,4,3,3,3,4,3,3,3,2,3,3,3,4,2,3,3,2,3,2,2,2,2,3,3,3,2,2,2,2,3,2,4,1,2,3,2,2,3,2,2,3,3,3,2,1,36,36,29,25,23,23
3,3,3,3,2,3,4,3,2,3,3,4,3,4,4,3,4,4,4,4,1,2,4,2,3,3,2,4,3,3,1,3,3,2,1,1,3,4,3,2,4,4,4,3,4,3,3,3,4,3,2,2,3,3,2,3,3,2,2,2,29,37,27,23,35,24
