"v1.1","v1.2","v1.3","v1.4","v1.5","v1.6","v1.7","v1.8","v1.9","v1.10","v2.1","v2.2","v2.3","v2.4","v2.5","v2.6","v2.7","v2.8","v2.9","v2.10","v3.1","v3.2","v3.3","v3.4","v3.5","v3.6","v3.7","v3.8","v3.9","v3.10","v4.1","v4.2","v4.3","v4.4","v4.5","v4.6","v4.7","v4.8","v4.9","v4.10","v5.1","v5.2","v5.3","v5.4","v5.5","v5.6","v5.7","v5.8","v5.9","v5.10","v6.1","v6.2","v6.3","v6.4","v6.5","v6.6","v6.7","v6.8","v6.9","v6.10","v1","v2","v3","v4","v5","v6"
3,3,2,3,3,3,3,3,2,2,3,3,3,3,4,3,2,2,2,3,3,2,2,1,3,2,2,3,1,2,4,4,4,3,3,2,3,3,2,3,3,3,2,3,3,2,4,2,2,2,3,3,3,4,4,3,3,4,3,3,27,28,21,31,26,33
3,3,2,2,2,2,2,3,4,2,3,1,3,3,3,2,3,3,4,2,4,4,4,4,4,4,3,4,4,4,3,3,3,4,5,4,4,3,3,3,2,3,3,3,2,3,3,2,3,3,4,3,3,4,5,3,4,4,4,4,25,27,39,35,27,38
3,3,2,2,3,2,2,3,2,2,5,3,4,4,4,4,2,2,3,4,2,3,3,2,3,2,2,2,2,4,1,3,3,2,3,3,2,3,4,2,4,5,4,4,4,4,3,4,4,4,2,2,3,3,3,2,3,2,3,3,24,35,25,26,40,26
3,3,3,4,3,2,3,4,4,3,3,2,2,3,4,3,2,2,3,3,4,3,3,3,3,3,3,2,3,4,4,3,3,4,3,3,2,4,3,3,3,3,2,3,2,3,3,2,3,2,3,2,3,3,2,3,3,2,3,3,32,27,31,32,26,27
3,3,3,4,2,2,3,3,2,3,2,3,3,4,5,4,3,4,4,3,3,3,1,3,3,2,2,2,3,3,4,3,3,3,4,3,2,2,3,2,3,2,3,2,3,2,4,2,3,2,3,3,4,3,4,3,3,4,4,3,28,35,25,29,26,34
2,3,3,3,4,2,3,5,1,2,3,2,2,3,4,2,3,2,2,3,4,5,3,3,4,4,4,4,3,5,3,3,3,3,3,2,3,4,2,2,2,2,2,2,3,3,4,2,3,2,3,3,3,3,4,3,3,3,4,4,28,26,39,28,25,33
2,4,3,3,2,3,2,2,3,2,3,2,2,2,3,2,3,2,3,3,2,3,2,4,3,3,4,4,3,4,4,3,2,2,3,3,3,3,3,3,3,2,2,2,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,26,25,32,29,24,29
2,3,3,3,3,2,3,3,2,2,3,2,2,2,3,3,2,2,2,3,3,4,3,2,3,3,4,3,2,2,3,3,4,2,3,4,4,4,3,2,4,3,3,3,3,3,3,3,4,3,1,1,1,1,2,2,2,1,2,2,26,24,29,32,32,15
3,3,2,3,3,2,3,3,3,2,3,2,2,3,4,2,2,3,4,4,2,3,3,2,4,2,3,2,1,3,3,1,2,3,2,4,3,4,2,2,2,2,2,2,2,3,3,2,3,3,3,3,4,4,3,3,3,3,3,3,27,29,25,26,24,32
2,2,3,2,3,2,2,2,3,2,2,3,2,2,3,3,4,3,3,2,3,2,3,1,2,3,3,4,3,3,4,4,5,4,4,4,4,2,3,3,1,1,2,2,2,2,4,2,2,2,2,3,2,3,4,2,3,3,3,2,23,27,27,37,20,27
3,2,3,2,3,1,1,3,2,2,2,2,2,3,4,2,3,4,3,3,4,2,3,2,2,2,3,3,3,2,3,3,4,3,2,3,3,4,3,3,2,1,2,1,2,1,4,1,1,2,3,3,3,3,3,3,3,3,4,3,22,28,26,31,17,31
4,4,3,3,3,4,1,3,3,3,3,1,2,2,2,3,2,3,3,2,3,4,2,2,3,2,2,4,3,3,4,4,4,4,3,5,4,4,4,4,2,2,2,2,3,2,4,2,2,2,2,3,3,4,3,3,3,3,3,3,31,23,28,40,23,30
4,3,4,2,3,3,2,4,2,3,4,2,3,4,4,4,3,2,4,4,3,3,4,2,3,2,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,3,2,3,3,3,3,2,3,2,2,1,2,2,1,1,1,1,1,1,30,34,30,32,27,13
3,3,2,2,1,3,3,4,4,2,2,2,3,3,3,3,3,3,4,3,3,2,3,4,3,2,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,5,3,4,4,2,4,5,4,2,1,2,2,3,2,2,2,3,2,27,29,30,31,38,21
3,3,5,3,2,4,2,4,2,3,4,3,4,4,3,4,4,4,4,3,3,3,4,4,2,3,3,3,3,3,4,3,3,4,2,3,2,2,3,4,2,2,3,2,3,3,3,2,3,2,2,2,3,1,3,1,2,1,2,1,31,37,31,30,25,18
3,3,4,3,2,2,2,5,3,2,4,2,3,4,3,4,3,3,3,4,2,3,4,3,2,3,3,3,3,4,5,4,5,4,4,4,3,5,2,3,1,2,1,2,2,2,5,2,2,2,2,2,2,2,1,3,2,2,2,2,29,33,30,39,21,20
3,4,4,5,3,4,4,4,4,3,4,3,3,4,4,3,3,4,4,5,3,3,3,4,3,3,4,4,4,3,3,4,4,4,4,4,3,4,4,2,3,2,2,2,2,2,4,2,2,1,2,2,2,3,2,3,3,2,2,2,38,37,34,36,22,23
3,3,3,3,3,3,4,4,4,2,3,2,4,4,3,2,4,4,2,3,2,1,2,3,2,2,2,2,2,3,3,4,3,3,2,3,3,2,3,2,3,3,3,3,4,3,3,3,3,3,4,4,4,4,5,3,3,4,4,4,32,31,21,28,31,39
3,4,3,4,3,2,2,3,3,2,4,3,4,3,3,3,3,4,2,3,4,3,3,2,3,3,4,3,2,4,4,3,3,2,2,3,3,5,2,2,3,3,3,4,4,3,3,3,4,4,3,2,3,2,3,3,3,2,3,3,29,32,31,29,34,27
3,2,3,4,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,2,3,4,2,3,3,3,3,4,4,4,3,3,2,3,3,3,2,3,4,2,3,3,1,2,2,2,1,2,2,2,1,2,27,30,33,32,28,17
4,4,2,4,3,4,3,3,3,3,3,2,4,4,3,3,2,4,3,3,4,3,4,2,4,3,4,3,3,4,3,3,3,3,4,4,4,4,2,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,4,4,3,2,2,33,31,34,33,29,28
3,2,3,3,3,3,3,2,4,2,3,2,3,3,3,3,2,2,3,1,3,4,4,3,4,3,3,5,4,3,4,3,3,2,3,2,3,2,2,3,5,4,4,4,4,4,2,4,4,4,3,3,4,3,4,3,3,3,4,3,28,25,36,27,39,33
3,3,2,3,3,3,2,4,4,3,2,2,4,2,2,3,3,3,3,2,1,4,2,2,4,3,3,3,2,4,2,2,2,2,2,3,3,3,4,2,3,3,3,4,4,3,3,3,3,3,2,2,4,3,2,3,3,2,3,3,30,26,28,25,32,27
4,4,4,4,3,4,3,3,3,3,4,3,4,5,4,3,3,4,3,3,4,3,2,2,2,4,2,2,2,3,3,4,4,3,3,5,3,4,5,3,4,5,4,4,4,4,2,3,4,4,3,2,3,2,2,2,3,2,2,2,35,36,26,37,38,23
3,4,4,2,3,3,3,3,3,3,3,2,2,4,3,3,3,3,2,4,3,4,4,3,4,4,5,3,4,4,3,2,3,1,2,3,3,3,2,2,4,4,4,3,4,4,2,4,4,4,3,2,3,3,3,3,3,3,4,2,31,29,38,24,37,29
3,3,4,2,3,3,2,4,4,3,3,2,3,3,1,1,1,3,3,2,3,4,4,3,3,4,2,3,4,2,3,4,4,4,3,5,4,3,3,2,1,1,1,2,2,2,4,2,2,2,2,3,3,3,3,3,3,3,2,3,31,22,32,35,19,28
3,3,2,2,2,1,1,3,1,2,3,3,2,4,4,3,3,4,3,4,2,2,3,2,3,3,2,3,3,3,4,3,3,3,3,2,2,3,4,3,4,5,4,4,4,3,3,4,4,4,2,2,3,3,3,2,3,3,3,3,20,33,26,30,39,27
4,4,2,3,2,3,2,3,3,4,3,3,3,4,4,3,4,4,4,3,2,2,3,2,2,2,2,3,3,1,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,2,3,4,4,3,3,4,3,4,3,3,3,3,3,30,35,22,33,37,32
5,3,3,3,4,4,3,4,3,3,3,1,2,4,4,3,2,2,2,2,4,5,5,3,4,4,4,4,4,5,3,3,4,3,4,5,4,4,4,4,3,3,4,3,4,3,2,3,4,3,5,5,5,5,5,5,5,5,5,5,35,25,42,38,32,50
3,2,3,2,1,2,2,2,2,2,3,3,3,3,4,3,3,3,4,3,3,5,4,3,5,4,4,5,5,4,3,4,4,4,3,3,3,4,3,3,2,2,2,2,2,2,4,2,2,3,4,5,5,5,5,4,5,5,5,5,21,32,42,34,23,48
5,3,4,4,3,3,4,3,3,3,3,1,4,4,4,4,3,3,4,3,3,3,3,2,2,2,3,3,3,3,3,2,4,3,3,4,4,3,3,3,3,2,2,2,2,2,4,2,3,2,2,2,1,2,2,3,2,2,2,2,35,33,27,32,24,20
2,2,2,3,3,4,2,2,2,2,3,3,3,2,4,4,2,3,3,3,3,3,2,3,3,3,2,3,2,3,4,3,3,4,3,5,4,3,4,3,3,2,3,3,3,3,4,2,3,3,1,2,2,2,2,3,2,2,2,2,24,30,27,36,29,20
3,4,4,3,3,3,3,3,3,3,4,2,3,3,2,3,2,4,2,5,2,3,3,3,4,3,3,4,4,3,1,3,3,2,2,3,2,2,2,3,3,2,3,4,3,4,3,3,3,3,3,2,4,3,3,2,3,3,2,3,32,30,32,23,31,28
4,3,4,3,3,2,2,3,2,2,3,3,3,2,4,3,2,3,4,3,3,4,4,3,3,2,4,3,2,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,28,30,31,26,30,27
4,3,4,3,2,2,3,3,2,3,4,3,3,4,4,3,1,4,3,3,2,2,3,3,2,4,2,2,3,3,2,4,5,3,4,2,3,3,4,3,3,3,3,3,3,3,3,2,3,3,2,1,3,2,2,2,2,2,3,2,29,32,26,33,29,21
