"v1","v2","v3","v4","v5","v6"
33,28,35,29,24,33
30,37,24,24,31,24
32,34,29,29,37,26
26,31,30,32,21,20
20,29,24,28,24,25
29,39,30,28,39,24
18,24,37,37,22,28
34,33,26,24,29,18
32,35,27,32,34,21
30,38,34,33,38,25
34,25,23,31,17,18
18,32,25,39,24,30
31,34,30,20,36,17
32,33,28,27,32,23
28,29,28,36,23,28
38,24,26,32,27,18
30,32,37,28,30,29
29,24,29,24,35,26
34,27,38,32,31,30
38,29,33,33,22,20
19,30,21,37,23,16
32,36,29,29,35,23
35,25,27,22,26,29
27,26,33,25,20,26
31,29,29,30,21,23
32,31,30,34,30,22
28,31,29,38,30,19
32,29,28,26,22,28
37,20,24,29,34,26
25,31,30,31,25,26
30,33,32,22,41,11
37,32,29,25,34,20
29,29,28,28,26,23
29,39,23,32,39,36
32,28,18,33,35,42
20,31,24,41,34,40
33,32,27,23,22,15
36,28,32,29,34,21
26,35,36,30,33,30
24,29,32,35,28,32
29,25,29,28,23,14
32,40,34,24,37,26
32,28,27,32,27,26
22,36,29,36,41,24
28,29,38,25,28,33
34,31,28,24,31,25
33,35,24,35,31,41
33,20,28,33,29,19
35,28,28,25,32,13
30,24,27,23,40,24
30,30,39,24,40,44
33,35,26,32,26,11
31,34,38,35,34,32
32,32,34,33,32,23
33,33,34,33,30,30
29,25,35,35,38,31
30,19,32,27,32,27
32,36,27,28,23,23
31,39,34,23,41,34
28,31,28,33,22,32
31,24,37,34,24,23
36,25,28,35,39,24
33,27,19,21,21,35
37,30,27,40,28,26
27,31,23,30,29,22
34,28,23,22,35,27
34,27,24,29,25,20
38,31,28,31,23,26
34,36,27,28,37,18
31,32,29,29,38,29
26,20,35,32,22,21
31,29,43,27,30,23
39,37,24,30,35,35
26,29,33,32,36,23
32,29,24,30,26,30
29,37,27,23,25,30
27,27,27,28,23,25
26,30,29,21,25,22
25,34,30,28,31,19
32,33,20,25,17,44
30,34,41,32,39,43
27,29,27,29,33,33
33,23,23,26,22,30
32,27,29,27,26,26
32,29,25,38,35,23
30,39,36,26,34,28
35,43,25,24,31,24
30,33,35,27,30,24
32,17,35,27,30,27
23,28,26,38,28,22
25,27,23,26,25,22
24,24,20,35,26,32
31,31,20,34,29,28
37,30,33,27,38,20
28,28,27,27,19,15
29,44,22,34,36,18
32,37,33,32,44,26
33,27,30,28,26,18
36,31,30,25,18,13
34,36,26,28,43,12
35,29,31,24,31,20
27,43,27,26,31,21
31,30,22,29,26,25
31,38,38,28,31,33
19,34,42,40,22,48
34,39,33,40,29,19
26,33,30,39,31,21
26,26,35,28,22,27
24,34,25,28,24,18
28,28,20,29,38,30
34,33,38,32,29,32
34,32,25,25,25,23
33,31,25,27,19,21
33,40,25,22,28,21
33,24,31,30,29,16
34,31,32,27,30,25
30,33,29,25,29,16
35,26,36,25,23,28
25,23,35,25,28,25
39,26,36,24,34,28
33,29,21,32,26,28
24,31,31,30,42,26
19,25,26,39,31,24
32,29,24,29,33,25
34,31,27,27,36,29
34,28,28,29,28,22
30,32,23,23,24,19
34,31,30,26,30,23
26,30,39,27,30,29
32,34,37,37,28,33
19,30,29,31,26,20
38,27,34,24,39,24
27,32,30,29,39,16
36,32,30,21,37,23
34,27,31,34,39,20
24,29,41,23,36,32
23,35,28,27,24,21
32,33,24,26,29,19
31,26,29,34,23,15
27,33,34,29,28,23
25,25,27,34,29,25
34,37,39,31,28,35
35,33,31,18,38,26
19,32,29,40,37,17
27,33,25,20,41,13
35,26,24,33,29,25
29,37,31,31,46,16
33,34,27,22,33,14
35,34,25,22,37,31
28,41,32,35,34,26
26,28,24,29,25,21
34,32,25,29,32,24
34,39,29,21,21,25
28,25,34,31,22,26
27,32,25,32,28,24
28,29,25,26,32,19
26,34,36,33,26,28
31,35,33,20,40,15
32,32,25,28,36,23
31,38,25,29,42,30
29,30,24,40,24,27
35,24,26,28,33,35
28,33,30,31,30,24
28,32,37,38,35,12
29,32,31,23,33,25
36,22,32,25,28,32
36,31,28,33,26,28
22,28,24,27,30,18
23,34,34,32,30,25
30,34,26,33,32,25
39,35,31,26,27,12
33,25,28,36,22,18
16,25,21,39,30,28
32,31,37,38,26,36
27,26,31,39,24,25
21,39,26,31,30,19
22,31,32,30,30,26
26,28,30,23,30,28
25,31,25,27,32,21
29,31,24,41,25,21
18,25,28,39,31,24
28,31,22,24,36,32
31,37,21,29,32,31
41,35,32,23,21,26
27,25,26,38,27,23
36,39,31,26,31,31
45,25,30,25,14,38
23,29,35,33,24,31
25,36,43,32,30,40
37,29,32,29,32,31
31,25,34,40,23,20
27,29,34,29,30,27
37,37,35,21,35,24
41,40,30,25,18,32
27,24,26,17,33,20
30,33,32,24,31,24
30,39,23,32,30,17
34,18,24,33,29,29
36,29,32,25,27,21
26,29,24,38,27,25
27,30,31,34,33,21
32,29,27,26,18,26
29,34,26,29,37,32
21,38,31,32,40,25
30,20,25,28,36,19
36,36,32,16,23,30
27,33,21,39,31,29
33,32,26,35,27,29
24,27,36,27,18,34
35,29,32,27,23,35
34,36,35,27,29,30
33,32,25,30,29,21
21,29,25,26,32,29
25,26,26,35,24,23
27,26,19,31,31,27
27,40,34,28,31,17
37,33,31,26,23,30
34,42,27,33,35,20
28,35,37,42,24,36
31,28,33,33,30,17
30,27,24,29,30,31
28,28,28,32,29,20
29,30,38,29,39,13
36,24,24,26,36,23
27,29,25,32,30,13
21,30,33,41,37,29
35,33,23,25,21,28
34,26,27,30,23,32
29,35,33,31,30,28
31,32,25,31,22,21
31,29,32,23,27,30
25,39,28,36,20,23
30,20,37,33,25,28
38,31,27,29,28,28
18,32,34,37,28,31
22,33,35,33,37,30
30,31,27,36,36,29
31,35,27,31,24,19
28,33,26,38,34,27
33,25,30,28,37,34
25,31,32,33,37,23
35,29,34,28,37,29
28,26,21,30,27,29
27,35,24,29,31,20
29,34,30,38,22,18
37,36,41,24,37,40
28,28,29,38,30,28
34,24,34,19,32,23
29,31,24,30,21,22
17,27,34,38,26,17
35,27,35,27,22,34
30,36,26,26,32,28
34,30,21,22,32,29
25,40,30,35,33,30
23,25,38,34,34,27
38,36,29,36,44,21
36,31,26,24,27,21
30,31,25,31,28,26
28,30,24,25,27,26
35,25,27,30,20,26
32,30,30,29,47,20
31,33,28,32,35,22
36,32,36,32,31,19
31,29,26,25,29,19
36,38,29,24,37,21
21,30,28,21,23,27
27,31,23,35,32,25
32,31,39,23,30,33
31,32,33,33,27,23
30,21,30,26,31,29
28,26,32,30,42,26
34,17,20,33,21,41
33,36,30,23,34,21
33,33,29,33,24,21
31,30,31,38,41,29
40,32,30,27,40,26
31,22,34,29,31,29
37,43,29,32,33,17
30,31,32,31,37,14
31,22,37,31,31,26
33,30,26,28,31,15
32,28,28,37,40,19
30,25,32,27,29,19
28,37,29,31,29,21
25,25,33,36,25,21
24,25,30,27,31,22
29,38,25,35,35,22
30,27,33,29,33,20
26,33,23,32,26,20
32,37,37,31,33,28
27,26,27,40,40,35
30,28,31,25,30,30
33,28,36,30,24,27
33,31,25,22,38,28
38,28,38,34,38,41
23,33,26,30,38,30
21,33,28,27,36,30
36,30,26,30,23,22
28,36,32,35,21,19
29,35,26,26,36,32
32,38,27,21,31,16
26,26,28,27,23,20
30,29,40,33,16,33
31,37,34,24,25,24
24,33,24,33,22,29
21,31,21,35,37,26
34,25,24,25,14,29
31,29,31,29,21,24
35,30,40,27,46,39
32,31,25,31,23,17
29,27,27,29,27,26
40,27,26,22,22,26
39,31,34,25,22,31
32,31,33,24,31,21
41,26,33,29,23,20
25,22,31,26,22,29
28,26,29,33,34,22
40,22,34,33,26,24
32,31,32,26,15,21
21,22,30,26,34,20
37,28,30,31,25,11
31,39,31,24,30,22
24,35,21,42,28,31
25,34,30,36,30,29
28,40,25,37,30,20
30,38,26,24,33,21
20,32,30,34,35,25
35,34,32,38,40,29
22,23,35,35,28,29
26,31,32,28,15,16
31,21,36,28,26,36
31,26,26,35,40,23
18,33,37,26,29,22
25,37,23,36,30,24
29,30,26,27,37,21
22,27,31,20,28,26
26,34,27,26,25,27
29,30,36,29,22,24
31,18,32,30,14,31
26,30,28,21,34,23
37,24,19,23,21,30
24,34,31,39,35,26
40,33,31,22,45,26
24,32,30,26,37,21
29,33,16,32,30,34
27,35,32,24,31,25
26,25,31,27,21,28
30,26,18,23,27,29
33,34,24,33,29,23
35,31,46,20,33,49
26,24,35,33,30,23
26,28,28,29,23,20
30,35,27,33,29,23
28,25,36,31,25,32
30,38,23,26,29,25
29,35,36,25,29,29
29,25,29,26,32,21
25,33,21,34,27,21
27,30,33,38,16,26
21,29,37,29,34,22
27,31,27,28,34,32
21,29,23,32,27,33
28,30,37,25,21,29
37,28,36,25,34,43
28,28,30,38,35,32
26,32,38,31,29,29
27,29,32,36,26,21
28,31,38,29,22,31
36,27,31,21,24,29
24,30,27,27,31,27
37,31,36,23,24,21
35,21,32,34,21,27
33,40,28,24,37,31
26,31,23,32,20,19
19,33,20,30,24,34
27,28,31,29,27,21
30,23,20,31,33,21
21,32,32,29,36,21
30,24,27,27,25,28
27,32,29,38,27,17
18,35,20,32,37,19
24,22,26,29,30,41
35,30,26,35,29,23
24,37,17,25,42,33
29,29,29,35,17,14
29,21,35,30,30,28
26,32,22,33,34,25
31,30,29,38,28,31
33,22,28,29,32,23
31,26,32,30,22,27
31,26,16,26,41,50
37,38,35,25,38,24
35,18,33,40,17,12
26,32,31,27,23,27
26,32,26,34,28,26
32,30,33,24,20,26
27,27,35,32,28,30
32,26,18,25,20,33
27,38,26,31,32,24
30,30,22,32,39,29
34,36,37,28,26,20
26,39,30,30,32,24
33,31,32,19,24,28
28,32,30,32,42,30
28,31,32,27,30,22
24,36,26,29,31,24
31,31,25,29,27,20
24,35,30,41,32,25
28,28,32,31,37,27
31,34,38,28,21,33
22,24,30,36,27,28
34,35,29,40,21,24
30,30,32,34,33,23
27,29,23,33,35,30
27,28,26,29,33,23
27,30,31,28,29,28
29,35,24,24,28,26
23,27,33,39,24,18
29,29,33,30,21,23
26,25,29,29,29,25
39,37,28,33,35,31
32,32,22,29,32,28
28,32,31,29,28,13
32,33,32,28,28,24
34,27,31,20,36,24
25,27,21,35,33,39
22,35,28,46,41,30
33,27,32,36,37,30
30,29,23,31,17,30
30,24,28,28,28,25
27,37,30,41,37,26
29,32,29,33,25,22
31,30,33,31,36,25
21,32,25,37,19,25
34,24,32,27,40,27
30,36,38,39,28,42
27,22,33,36,18,29
32,31,25,26,30,20
24,31,28,32,43,13
35,27,34,32,26,18
30,31,20,29,20,31
22,31,34,38,23,32
30,33,39,37,21,22
34,27,35,30,37,24
43,32,25,30,32,20
30,34,21,23,37,29
27,27,32,27,32,25
31,33,24,29,34,22
35,30,24,28,30,22
34,35,35,29,23,20
41,29,32,26,29,31
35,31,37,29,35,24
30,28,17,36,31,41
36,25,24,25,28,27
36,28,39,37,23,41
31,37,29,24,27,26
32,30,32,25,27,19
38,27,36,28,20,24
36,33,27,28,33,28
27,22,28,33,24,17
29,31,31,36,30,21
22,32,34,31,33,25
30,32,31,32,32,20
25,29,31,22,23,25
32,25,30,27,21,27
37,29,22,13,35,19
32,41,36,26,37,25
37,28,24,27,31,20
28,27,22,27,21,35
31,27,28,29,36,16
39,37,35,29,28,23
32,39,32,24,28,22
33,36,28,33,24,30
34,26,27,30,36,30
36,38,27,27,37,26
32,27,31,29,28,28
29,29,22,28,30,21
37,33,27,35,36,33
30,31,36,35,30,25
31,29,35,26,25,27
31,26,29,39,19,20
22,34,31,27,23,27
24,30,24,39,34,25
33,30,40,29,37,24
28,30,24,38,24,26
29,28,24,29,37,34
24,29,30,44,40,27
38,34,34,17,24,30
24,23,29,40,24,20
29,33,28,35,45,20
23,28,30,32,30,31
31,24,34,19,26,35
23,26,29,30,25,22
32,27,31,27,36,22
22,19,22,48,18,39
30,23,32,37,19,24
26,34,34,32,24,24
32,31,26,35,28,24
30,33,30,25,28,31
35,27,26,20,32,28
34,29,32,30,32,28
27,31,25,31,30,31
24,31,26,30,29,22
14,17,25,33,20,20
39,33,35,28,40,25
28,24,23,35,15,23
31,23,23,32,24,24
28,37,26,33,38,21
23,33,26,28,31,24
33,33,28,24,27,24
28,34,34,32,33,21
32,25,30,29,37,22
34,37,20,41,39,30
28,25,30,41,37,22
35,40,35,34,23,25
34,25,33,24,37,22
32,38,28,37,39,29
31,37,35,28,46,25
30,34,25,41,14,32
33,36,38,31,34,31
26,29,37,24,27,24
28,23,26,33,14,14
25,28,24,29,29,24
23,27,20,34,23,31
25,33,29,28,36,21
36,29,31,25,36,29
22,32,29,35,17,24
27,30,27,38,26,24
36,38,29,28,37,28
31,24,30,25,28,26
36,26,27,20,23,21
30,29,33,25,33,15
39,23,21,23,23,25
27,22,30,34,20,15
25,31,32,21,30,23
33,37,25,22,39,29
26,19,30,33,33,26
28,28,29,40,23,16
22,27,37,35,37,36
28,29,36,26,27,29
30,33,22,29,43,20
35,29,35,31,32,24
26,30,33,33,32,28
30,34,28,38,22,30
30,37,33,27,44,21
34,37,31,27,29,31
30,36,27,23,39,20
27,29,27,39,35,19
26,35,34,45,35,22
25,32,25,25,30,18
33,31,35,25,20,25
31,23,17,29,35,38
29,34,23,36,33,21
33,34,29,37,38,24
36,35,33,34,37,17
18,20,23,34,29,26
26,28,30,32,27,17
28,41,28,41,33,14
28,29,35,37,21,29
32,36,27,26,32,16
29,35,35,19,29,23
33,30,32,27,28,18
25,19,31,27,23,17
20,20,29,26,18,27
29,30,33,34,22,27
29,42,35,26,32,24
33,29,28,33,33,23
26,36,30,39,26,22
37,23,27,32,22,24
30,35,31,35,24,32
29,32,20,28,34,21
24,34,29,31,29,21
25,30,33,31,30,23
34,29,25,33,19,27
25,28,30,33,31,20
36,40,25,32,37,26
35,37,38,23,38,31
30,41,34,25,38,25
33,25,33,25,22,28
28,21,35,28,29,21
38,30,43,35,38,32
29,26,38,34,21,36
35,29,30,31,29,31
26,30,23,32,36,29
30,24,37,34,21,39
25,28,29,26,27,16
33,42,24,30,32,20
26,29,29,36,30,24
34,35,27,28,29,26
27,23,35,23,30,25
32,27,28,37,26,20
32,39,31,27,40,16
26,26,27,35,35,31
23,28,25,37,31,32
30,26,30,29,20,18
36,37,31,29,32,24
30,31,26,30,28,28
22,26,30,34,37,29
24,30,35,37,38,30
32,34,30,28,31,22
35,28,28,31,31,24
33,29,28,27,26,38
37,24,37,25,30,28
30,29,35,27,31,28
32,32,25,29,33,30
30,23,28,30,29,30
33,31,30,35,17,15
30,30,23,31,30,26
30,25,38,29,37,26
36,31,23,27,31,26
25,24,30,25,26,22
29,38,29,25,27,34
33,32,25,26,30,21
24,27,30,36,28,19
38,35,30,22,35,28
29,31,31,29,44,24
36,40,22,24,33,27
25,27,29,27,31,31
26,29,34,33,27,25
31,30,30,30,29,21
22,32,25,29,23,30
32,30,35,23,36,20
40,22,31,26,22,19
26,31,26,23,23,32
34,28,29,30,29,32
28,34,26,35,31,10
29,31,24,32,35,16
35,27,29,20,15,23
25,39,32,37,36,23
28,31,31,24,29,26
27,22,29,42,26,17
27,29,32,33,28,24
29,38,28,30,27,21
29,40,21,25,33,22
32,35,28,32,33,20
41,31,38,24,24,24
22,27,29,32,30,24
27,29,27,32,29,19
33,34,33,31,36,17
29,35,35,31,30,32
31,32,24,23,25,22
35,32,25,36,46,20
31,29,23,30,34,24
28,43,24,25,37,23
33,31,24,25,26,18
27,42,36,35,44,25
32,27,23,23,32,25
33,30,37,32,31,25
30,26,32,29,27,15
29,31,29,29,23,20
31,37,27,33,31,28
29,30,32,36,31,19
32,34,28,31,38,21
26,27,27,29,30,21
24,37,30,30,35,29
27,39,28,34,34,20
31,32,31,27,32,19
32,26,27,31,18,22
21,35,17,39,31,32
30,38,25,27,33,23
37,35,40,17,36,41
31,37,33,38,33,26
29,32,30,28,36,16
26,27,21,41,29,35
22,36,28,30,34,17
25,29,22,30,18,23
28,41,30,32,14,32
31,25,37,30,29,26
35,26,18,24,25,23
33,23,30,26,24,20
24,40,27,34,40,25
20,31,41,31,41,40
40,32,28,25,28,14
25,32,28,31,22,20
38,36,30,33,36,25
33,36,26,24,29,27
30,38,30,27,35,12
30,28,23,27,39,19
30,21,40,31,28,31
30,28,21,28,36,25
33,34,28,34,14,23
31,34,26,23,29,25
31,28,26,46,23,24
29,39,32,28,37,20
27,30,34,32,27,11
29,22,31,21,27,13
29,36,34,31,34,26
36,30,33,29,22,30
33,35,34,30,37,25
38,36,25,23,30,26
30,39,20,32,23,32
24,29,32,31,26,26
29,35,27,25,20,22
25,31,27,36,28,27
33,30,32,31,38,24
36,37,37,24,36,26
35,23,23,28,29,25
