"v1","v2","v3","v4","v5","v6"
35,30,30,29,17,18
34,28,34,34,36,30
30,31,25,36,32,27
28,36,27,27,21,35
34,34,22,37,34,28
30,27,16,35,28,31
24,25,25,31,38,32
28,24,27,12,29,19
29,37,24,37,30,27
32,27,27,27,37,35
29,31,29,32,31,20
32,27,29,33,21,35
27,34,24,23,23,10
27,28,27,30,36,30
19,30,29,37,35,28
26,34,33,29,30,23
30,24,26,32,25,31
26,31,29,31,31,22
29,31,33,34,39,34
29,23,27,28,29,38
23,29,34,30,24,24
26,26,25,32,29,30
27,32,27,42,31,24
26,30,34,25,30,26
27,22,26,27,22,32
31,29,33,27,31,28
24,26,25,30,38,26
32,32,25,34,34,18
34,30,29,26,29,29
30,24,29,32,24,32
24,29,38,33,17,38
44,31,25,21,31,31
27,27,29,39,40,29
34,31,38,25,36,37
29,33,38,29,32,36
28,26,30,25,40,21
30,23,41,32,23,42
25,35,32,36,35,24
32,29,32,29,20,23
24,26,28,32,31,26
33,28,32,22,31,21
34,26,27,32,16,24
33,37,32,32,33,31
31,34,28,28,34,28
32,24,31,23,23,24
25,28,29,40,29,28
34,24,34,30,30,30
31,38,36,31,30,27
32,28,22,22,25,40
35,23,31,24,28,30
26,25,31,35,29,21
22,23,24,30,30,23
27,28,19,36,41,30
25,34,27,24,36,33
30,25,23,31,31,20
29,25,24,28,27,23
33,26,32,24,33,27
29,35,41,35,29,38
30,28,30,21,31,28
35,24,26,24,35,25
27,34,31,21,30,30
31,22,24,30,19,31
34,31,28,21,25,26
28,27,29,38,30,31
28,34,26,25,38,29
31,26,34,25,31,25
20,25,30,39,39,26
32,28,28,32,40,26
27,33,40,31,29,37
26,36,28,36,40,21
31,33,37,26,32,30
32,43,21,33,37,35
28,31,34,33,29,33
31,30,30,32,21,29
27,28,24,28,38,20
31,25,28,25,30,31
30,26,36,32,28,25
28,31,29,27,36,22
40,23,26,26,18,31
24,32,24,28,29,31
29,33,37,16,22,36
22,29,31,39,42,23
31,29,32,30,38,21
26,28,30,33,30,23
30,33,33,23,39,34
30,26,27,28,24,30
29,31,21,35,35,32
27,34,36,30,24,32
32,27,22,29,28,33
32,33,26,33,30,29
26,28,23,29,27,27
33,30,33,20,38,29
22,26,33,30,24,22
24,35,40,31,32,27
37,29,27,22,28,29
25,33,22,27,29,38
35,25,25,29,30,26
34,27,30,32,42,31
31,30,27,30,26,29
29,31,29,32,28,26
35,34,34,28,33,24
33,30,32,37,38,30
27,31,30,37,37,30
