"v1","v2","v3","v4","v5","v6"
22,27,26,23,32,31
33,24,26,32,23,19
37,29,30,33,30,20
35,33,29,28,30,25
28,31,34,28,29,16
33,31,32,33,37,21
27,24,26,26,24,21
28,33,31,23,33,29
26,29,33,38,38,27
23,25,29,25,29,31
32,29,35,20,36,34
26,23,33,28,29,29
34,36,28,34,33,22
27,25,25,26,25,16
40,31,27,31,25,23
39,37,29,34,38,26
31,29,42,36,31,33
19,30,35,21,29,24
26,32,33,29,28,25
35,26,31,32,23,15
35,29,29,36,31,22
33,29,31,29,24,23
22,33,21,23,36,22
24,28,35,23,23,28
27,29,28,29,27,25
28,30,21,26,38,22
30,27,27,29,20,27
32,27,27,27,30,20
33,28,25,33,20,18
28,38,24,26,21,23
19,32,35,28,37,21
29,37,30,29,31,34
28,37,25,27,32,24
29,34,24,32,22,26
29,31,30,29,33,19
36,31,30,33,33,31
33,32,34,33,28,26
35,28,35,33,18,20
20,20,29,29,31,31
29,32,31,29,25,27
18,30,30,20,20,17
29,30,27,26,28,29
34,31,22,33,30,36
23,28,34,25,30,27
36,25,35,36,30,28
31,22,28,34,30,25
32,30,29,36,29,20
36,21,35,19,30,20
25,29,25,33,36,26
37,22,21,36,27,28
29,31,25,31,33,18
21,20,30,27,27,23
29,30,23,26,37,22
35,21,26,39,19,25
42,35,26,38,33,28
26,32,25,29,31,31
35,24,31,29,37,24
28,26,34,29,22,16
28,29,34,27,30,17
31,30,37,33,30,30
31,43,25,31,37,21
33,20,26,30,21,18
28,19,35,35,30,24
34,27,28,33,23,14
30,31,32,30,35,18
29,26,25,31,28,21
30,37,30,23,25,20
34,35,24,30,33,19
28,26,29,30,28,27
32,35,32,27,39,25
26,22,38,25,23,30
28,29,33,36,39,29
27,30,36,28,41,31
34,27,40,33,29,45
30,31,36,29,24,31
32,23,25,22,17,30
23,36,22,30,42,32
32,32,33,38,31,28
30,37,26,29,28,27
35,24,32,34,32,29
37,35,28,37,23,22
33,34,32,37,35,21
34,29,29,27,31,21
19,27,30,26,28,29
25,25,36,33,35,15
30,25,24,24,32,18
31,36,31,20,37,26
30,25,33,30,27,26
30,31,32,24,29,28
24,39,28,20,32,26
35,29,22,35,37,28
27,34,28,37,31,26
25,29,23,29,37,35
35,21,30,34,28,28
28,26,22,25,31,31
31,31,24,25,30,26
29,25,23,26,31,32
30,26,25,28,31,29
35,30,31,34,30,26
29,33,34,31,31,27
42,23,28,30,26,20
24,30,33,17,31,19
26,28,22,26,37,41
29,36,27,33,32,25
29,25,29,23,26,27
26,33,30,30,34,19
33,26,35,20,29,27
32,24,37,26,27,24
29,29,22,31,33,24
26,40,26,35,22,23
28,24,33,25,35,19
33,38,25,22,44,23
37,38,36,33,34,30
28,31,31,29,29,29
28,33,26,29,37,22
35,22,30,32,25,20
32,27,28,38,36,32
39,22,25,37,23,22
26,31,27,28,30,21
40,32,30,36,37,24
38,24,36,31,22,20
41,22,33,28,23,22
39,33,25,31,25,32
30,26,32,36,30,26
35,27,29,32,28,23
29,20,34,27,19,29
31,35,31,31,36,25
35,30,21,31,37,38
30,31,31,32,29,29
36,33,27,27,34,23
32,26,26,32,30,28
34,33,29,20,25,29
42,27,37,34,30,24
34,34,35,35,35,26
30,27,37,29,44,26
35,29,22,25,18,37
34,26,31,34,33,23
30,25,31,38,23,30
28,27,26,26,23,20
29,32,30,33,21,27
30,30,36,27,33,28
27,35,20,27,39,33
27,31,30,26,36,18
26,18,36,32,29,37
29,26,25,25,29,27
34,36,39,34,33,25
28,24,22,26,21,29
20,28,28,30,24,32
33,37,25,26,37,29
28,29,30,34,35,20
29,29,35,26,31,32
28,26,38,18,31,37
25,25,33,29,34,20
26,29,22,29,35,36
31,25,18,25,28,40
27,24,31,29,20,24
25,43,29,25,40,26
30,35,28,29,26,30
24,28,26,24,32,29
28,28,26,29,28,21
29,40,29,26,43,27
28,36,32,27,22,17
28,31,25,30,33,19
23,34,24,30,20,25
29,30,35,37,30,26
33,30,25,28,16,27
31,30,21,28,27,27
31,23,30,22,25,30
31,24,33,32,21,17
33,26,30,35,23,22
32,30,24,37,39,27
41,27,26,39,27,19
23,33,25,22,33,38
33,25,32,33,32,33
30,27,29,25,32,28
35,16,32,26,26,23
36,25,28,30,26,21
32,28,27,27,28,27
30,32,24,27,40,30
29,29,30,30,22,28
34,29,33,32,23,21
36,29,28,33,33,24
26,32,30,20,39,17
31,39,27,25,38,31
32,26,33,34,28,37
37,28,28,31,28,31
31,20,28,27,21,30
23,24,36,31,29,36
32,43,31,38,32,20
22,34,24,27,36,20
35,35,29,28,26,25
26,24,32,33,29,21
28,29,29,28,38,29
29,27,29,34,32,21
30,29,31,19,37,23
32,34,32,32,30,25
40,32,27,33,33,20
34,27,34,25,35,22
25,34,26,32,37,20
35,28,28,29,28,29
29,24,25,30,24,25
30,23,33,32,21,29
34,35,28,36,39,28
30,36,33,32,23,21
30,27,26,29,26,27
24,42,27,29,36,26
29,23,35,25,29,30
31,37,32,32,36,30
26,35,28,37,31,26
29,26,39,34,29,22
29,21,32,23,30,29
26,24,33,29,25,15
28,29,23,27,30,25
33,30,29,32,30,22
29,29,22,32,32,26
31,28,33,31,27,23
19,32,36,31,37,31
29,40,32,26,30,29
32,30,30,30,26,26
37,25,30,39,36,23
22,36,28,32,29,23
32,37,29,29,33,27
34,26,29,26,25,28
33,24,33,29,36,27
26,31,25,29,32,31
29,37,33,34,29,21
37,28,22,38,27,37
35,38,28,31,29,25
38,34,31,27,25,24
33,22,34,32,34,26
23,28,29,28,30,26
26,31,39,31,28,40
38,27,32,31,35,16
32,28,31,34,23,19
31,31,27,42,33,22
22,32,32,17,39,22
35,24,29,32,34,15
32,30,27,37,31,24
28,37,33,25,42,28
30,35,27,33,30,33
35,29,29,28,32,19
36,28,31,30,34,28
33,32,30,26,37,33
34,30,27,40,42,18
27,30,30,35,30,25
33,28,22,36,31,30
35,23,26,32,27,22
34,34,33,25,27,30
27,29,30,35,34,29
34,33,28,29,36,26
25,38,28,22,26,28
34,34,33,32,28,22
28,24,27,31,34,31
27,37,33,26,41,24
23,26,38,33,36,26
28,35,27,31,22,31
32,37,24,34,29,28
28,30,27,29,16,20
27,31,32,33,34,12
30,26,30,31,33,19
21,31,35,29,27,23
35,28,34,34,23,25
35,25,24,33,25,19
24,24,34,26,23,20
40,37,29,31,38,26
28,31,25,29,29,28
26,31,31,27,33,24
28,29,32,29,22,28
35,25,30,36,35,20
30,25,27,27,42,16
28,16,27,28,25,22
28,30,27,30,33,35
28,26,29,23,28,29
26,34,35,30,27,27
28,31,22,30,41,29
30,23,17,21,20,46
35,27,26,31,35,33
31,28,28,34,30,28
29,27,32,29,22,24
33,36,27,36,40,26
36,40,30,28,37,14
26,30,23,25,30,26
12,28,29,28,21,22
29,27,31,32,23,28
24,29,34,23,30,27
37,17,31,33,25,23
38,31,25,31,33,26
26,21,35,26,27,23
29,30,32,27,29,15
25,27,30,31,36,21
28,32,28,36,32,19
37,38,22,35,23,27
30,26,27,27,36,27
21,26,22,32,34,25
39,25,35,28,30,32
34,33,36,25,38,32
33,23,32,34,27,24
28,30,36,26,33,32
26,29,32,26,32,20
37,31,34,31,22,33
28,34,31,23,45,26
28,33,33,32,45,26
31,23,30,37,32,15
26,30,29,36,28,24
26,35,35,24,36,31
34,28,32,29,29,30
25,29,26,23,28,27
23,23,39,20,40,35
34,33,28,25,32,23
37,30,32,33,34,24
33,22,34,30,27,18
34,31,20,24,29,39
23,32,27,24,29,23
26,25,26,29,33,25
29,27,36,24,35,25
28,27,44,23,27,44
26,41,30,33,25,14
31,32,32,31,37,29
24,25,32,25,29,15
38,31,34,31,31,32
34,30,25,32,32,29
32,30,31,35,39,21
26,27,35,32,44,30
31,33,31,27,32,27
34,32,33,33,35,30
35,31,30,26,36,19
28,35,30,28,28,33
30,29,26,19,39,20
29,23,26,30,28,24
25,28,29,24,33,34
28,29,35,35,37,29
33,29,21,33,34,25
32,30,46,21,21,49
37,26,28,25,23,33
27,41,32,35,36,26
29,25,35,23,34,20
34,27,31,29,32,27
31,29,34,22,39,18
23,30,28,24,28,15
30,28,26,37,36,24
29,24,33,28,27,30
32,28,32,33,22,35
27,30,28,26,30,26
25,28,33,21,29,34
29,30,32,23,29,25
40,27,32,37,40,27
35,24,24,35,32,27
26,28,27,25,30,21
36,20,34,29,25,23
29,41,33,31,40,32
27,31,28,33,36,20
19,26,28,25,26,31
36,38,26,32,37,23
38,26,18,38,31,39
30,29,26,30,39,24
34,30,37,23,39,22
29,30,31,33,29,28
25,29,32,33,24,28
30,27,36,32,35,20
31,35,26,36,29,28
30,30,39,28,30,28
24,28,29,27,37,35
32,32,34,35,32,26
31,19,27,28,28,26
28,29,26,29,25,30
34,34,36,28,29,28
28,27,38,23,32,21
27,30,29,28,27,13
24,27,28,24,30,22
33,24,28,33,29,34
31,23,28,28,23,19
25,30,36,28,30,25
30,34,33,37,36,25
29,23,36,25,37,40
37,24,37,41,29,34
36,26,19,30,31,38
31,24,31,33,35,21
26,31,25,32,40,24
31,32,27,30,33,29
29,27,26,25,28,30
35,33,29,30,37,29
29,33,19,30,23,30
34,28,26,35,21,20
33,27,30,30,28,33
22,28,32,34,34,22
37,29,33,31,30,21
29,31,26,34,39,28
26,29,25,35,35,32
32,31,28,26,39,30
30,26,26,36,29,30
25,31,23,30,38,32
26,28,39,23,26,23
35,26,32,33,24,30
28,33,21,32,34,23
31,34,33,26,26,23
