"v1.1","v1.2","v1.3","v1.4","v1.5","v1.6","v1.7","v1.8","v1.9","v1.10","v2.1","v2.2","v2.3","v2.4","v2.5","v2.6","v2.7","v2.8","v2.9","v2.10","v3.1","v3.2","v3.3","v3.4","v3.5","v3.6","v3.7","v3.8","v3.9","v3.10","v4.1","v4.2","v4.3","v4.4","v4.5","v4.6","v4.7","v4.8","v4.9","v4.10","v5.1","v5.2","v5.3","v5.4","v5.5","v5.6","v5.7","v5.8","v5.9","v5.10","v6.1","v6.2","v6.3","v6.4","v6.5","v6.6","v6.7","v6.8","v6.9","v6.10","v1","v2","v3","v4","v5","v6"
3,2,3,2,4,3,3,3,3,3,3,4,3,2,2,3,3,3,3,3,3,1,1,3,3,2,2,5,2,3,3,3,3,3,4,3,3,3,3,2,3,4,3,3,3,4,3,3,3,3,1,2,1,1,2,2,2,1,2,2,29,29,25,30,32,16
3,2,2,1,3,3,3,2,3,2,3,4,3,2,2,4,5,3,3,3,3,3,4,2,2,3,2,2,3,2,3,3,3,3,3,3,2,4,4,3,4,3,3,3,3,3,3,4,3,4,3,2,3,3,3,2,3,2,2,3,24,32,26,31,33,26
3,2,2,2,4,3,3,2,2,4,1,2,3,2,2,3,2,2,2,3,2,2,4,3,3,3,4,3,3,2,3,3,3,4,3,3,3,2,3,3,1,1,2,1,1,1,5,1,2,1,3,3,2,2,2,3,3,2,3,2,27,22,29,30,16,25
3,2,3,3,5,4,3,4,3,4,3,3,3,3,3,4,3,3,2,3,4,3,3,3,2,4,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,2,4,4,3,2,2,1,1,1,1,2,2,2,1,1,1,34,30,30,27,28,13
2,3,4,3,4,3,3,3,3,2,2,3,4,3,2,4,4,2,3,3,2,3,4,3,3,4,2,2,2,3,3,3,2,3,3,3,3,4,3,4,4,5,4,4,4,4,3,4,5,5,2,3,2,1,3,2,2,1,2,2,30,30,28,31,42,20
2,3,3,3,3,3,2,3,4,4,5,3,4,4,4,3,4,5,4,4,2,3,3,2,1,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,2,2,3,2,2,3,4,2,2,3,2,2,2,2,2,3,2,2,2,2,30,40,25,25,25,21
4,4,4,4,4,4,3,3,4,5,3,3,4,4,2,3,4,3,4,3,4,3,3,3,3,4,5,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,4,3,2,3,4,2,3,2,2,3,2,2,2,2,2,39,33,35,29,30,22
2,3,2,3,3,3,2,3,2,2,3,2,4,2,2,3,3,2,3,4,2,3,2,1,3,2,3,3,3,2,3,3,2,2,2,2,3,3,3,3,3,4,3,4,3,4,3,3,4,3,1,2,2,2,2,1,2,2,2,2,25,28,24,26,34,18
4,4,5,4,4,2,4,4,5,3,4,3,2,3,3,2,3,3,3,3,2,1,3,2,3,1,3,2,2,3,3,3,4,3,3,4,4,5,4,3,4,4,3,4,3,4,2,4,3,4,3,3,3,3,4,4,3,3,4,3,39,29,22,36,35,33
4,4,2,2,4,3,3,3,3,4,3,4,3,4,2,3,3,3,2,4,3,1,2,2,2,1,3,3,3,1,3,3,3,2,3,2,4,2,3,3,3,3,2,4,3,4,2,3,4,3,3,3,3,4,3,3,3,3,4,4,32,31,21,28,31,33
5,4,4,3,3,3,4,4,5,5,2,3,3,3,4,3,3,4,4,3,3,4,4,3,3,2,2,4,4,3,4,3,3,2,2,2,5,2,4,2,3,3,3,3,3,3,4,3,4,3,2,3,2,3,2,1,3,2,2,2,40,32,32,29,32,22
3,2,5,2,2,4,3,3,4,3,3,3,4,4,3,3,4,2,3,3,4,2,3,1,2,2,2,3,2,3,3,3,3,2,3,3,4,3,3,3,4,4,3,4,4,5,2,4,4,4,2,2,2,2,3,2,3,2,3,3,31,32,24,30,38,24
4,3,2,2,2,2,2,3,2,3,4,4,3,4,3,4,4,2,3,3,4,3,3,3,2,4,3,2,2,3,2,3,3,3,3,3,4,3,3,2,2,2,2,2,2,3,5,2,2,3,3,3,2,3,2,3,3,2,3,2,25,34,29,29,25,26
2,1,3,3,3,2,4,5,3,3,2,3,1,2,1,2,2,2,2,3,3,3,2,2,2,2,3,2,3,3,4,3,4,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,4,3,3,4,4,4,4,3,4,3,29,20,25,31,28,36
3,3,4,4,4,3,4,3,5,4,1,3,2,3,2,3,4,2,3,2,4,3,3,1,3,1,1,2,3,1,2,3,4,3,3,4,3,3,3,4,4,3,3,3,3,4,2,3,3,3,2,3,3,3,3,3,3,3,3,3,37,25,22,32,31,29
4,3,3,4,3,3,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,3,4,2,2,4,3,3,2,3,2,2,3,2,3,3,3,2,3,2,2,2,1,1,1,2,5,2,2,2,2,3,2,2,2,2,3,2,2,2,32,19,28,25,20,22
2,3,4,2,3,2,3,4,2,3,3,2,1,3,2,3,4,4,3,4,2,2,3,2,3,2,3,4,2,3,2,2,2,2,1,1,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,28,29,26,18,29,32
2,3,1,2,3,3,3,2,3,3,3,3,3,2,3,4,3,2,3,3,3,4,3,3,3,4,4,3,3,3,3,2,3,3,3,3,4,3,4,3,4,5,4,5,3,4,2,5,5,4,3,3,2,2,3,3,4,2,2,3,25,29,33,31,41,27
4,3,4,3,3,3,4,3,3,3,3,3,2,3,2,2,3,3,3,2,1,2,2,1,2,1,3,1,1,1,2,2,2,2,2,2,1,2,3,2,4,5,4,5,5,5,1,5,5,5,2,3,3,2,3,3,3,2,3,3,33,26,15,20,44,27
3,3,3,2,2,2,3,2,3,4,4,3,4,4,3,2,5,3,2,3,5,4,3,4,3,4,2,4,4,4,4,4,4,3,3,4,5,4,4,3,4,5,4,4,4,5,1,4,4,4,4,4,4,4,4,4,4,3,4,4,27,33,37,38,39,39
3,2,3,2,3,3,3,2,3,3,3,3,4,4,4,2,3,2,3,3,1,3,2,2,3,3,5,3,2,4,3,2,3,3,3,3,4,4,3,4,4,4,4,5,4,5,1,5,5,4,3,3,3,2,3,3,3,2,2,2,27,31,28,32,41,26
3,4,3,5,4,4,4,5,4,4,1,2,1,2,1,2,3,2,2,2,4,4,3,3,3,4,3,3,3,4,3,3,4,2,4,3,4,2,2,4,1,2,1,1,1,1,5,1,2,2,4,3,4,3,3,4,3,3,2,3,40,18,34,31,17,32
3,3,3,3,3,3,2,3,2,3,1,3,2,3,4,1,3,3,4,4,2,2,3,3,2,2,2,3,2,1,3,3,3,3,4,3,3,3,3,2,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,3,4,28,28,22,30,33,33
4,2,4,2,3,3,3,4,2,2,3,2,3,2,3,3,4,3,3,3,3,4,4,3,2,3,3,2,2,3,3,3,3,3,3,3,4,3,3,3,2,3,2,2,2,3,3,2,3,3,1,2,1,1,1,2,2,1,1,1,29,29,29,31,25,13
