"v1","v2","v3","v4","v5","v6"
22,33,36,32,28,20
24,21,32,29,29,20
25,28,24,36,24,31
33,25,41,37,28,31
29,34,25,32,29,33
34,34,41,34,26,37
39,21,32,29,36,29
22,30,23,27,33,26
30,27,28,27,25,22
20,31,38,25,31,31
26,27,37,27,23,31
23,35,19,32,34,27
33,28,27,32,20,32
35,32,37,31,36,22
31,32,31,37,29,16
26,26,33,23,22,31
26,30,38,33,22,29
33,29,22,38,27,23
27,25,33,29,26,23
33,32,35,36,38,28
31,34,25,27,32,27
22,32,24,39,28,28
36,31,32,27,25,22
30,37,29,37,36,24
32,28,29,30,29,23
29,29,32,28,27,26
39,25,24,30,36,36
27,32,34,30,38,31
34,33,23,27,33,22
32,34,29,27,28,20
33,27,30,30,33,22
22,29,27,29,35,29
32,24,32,25,38,16
35,32,34,36,30,16
29,24,34,36,29,31
30,31,31,19,36,25
31,25,29,38,24,24
34,27,34,30,27,28
25,26,26,26,22,19
30,24,28,38,40,30
21,29,42,29,36,28
29,32,27,26,26,35
27,33,22,34,28,33
32,34,27,32,27,29
34,33,22,36,31,22
30,22,25,30,21,28
26,28,32,31,26,26
28,26,38,37,22,40
35,30,37,34,29,32
25,31,30,29,32,23
35,25,41,27,19,40
32,33,31,26,26,31
38,22,30,33,42,22
35,35,31,37,23,28
31,28,39,29,31,27
28,25,35,25,20,23
17,32,37,30,30,30
27,36,35,25,30,21
26,33,29,25,35,27
26,31,33,34,33,14
27,23,34,29,31,20
31,25,33,22,28,27
32,33,36,33,29,25
26,36,29,22,30,28
28,31,26,25,32,24
36,24,29,37,31,31
34,20,38,23,23,40
27,20,34,23,38,22
29,33,33,31,35,38
41,28,26,29,25,23
32,24,29,36,31,29
27,26,27,39,22,23
29,28,31,31,26,21
27,30,27,36,28,27
21,33,26,26,34,29
24,35,23,25,29,22
30,30,29,41,16,22
29,30,33,25,30,29
26,34,33,28,31,26
21,30,25,23,33,24
34,28,37,28,29,25
26,29,33,29,23,41
31,33,20,27,38,29
26,29,35,36,29,27
19,34,31,24,26,23
22,36,32,19,36,24
42,34,38,40,32,32
27,23,27,21,36,20
24,22,29,38,26,19
25,30,29,24,24,31
31,29,37,36,39,39
31,28,31,34,29,29
20,26,24,20,33,35
25,30,33,23,24,24
24,21,36,25,28,26
