"v1","v2","v3","v4","v5","v6"
34,39,31,29,39,30
22,26,22,27,29,35
23,37,32,27,36,20
29,31,35,30,39,21
24,31,33,28,33,20
26,27,20,20,25,24
27,28,32,32,31,18
30,37,30,35,31,14
31,30,25,35,35,23
30,27,32,36,34,22
27,32,25,31,46,25
28,26,31,30,21,20
34,34,36,29,32,24
26,35,20,33,26,31
31,33,31,30,36,11
29,31,27,29,44,27
27,30,32,31,35,23
37,26,32,32,26,30
28,34,19,36,31,28
45,26,30,39,24,22
29,29,33,20,31,19
25,31,30,26,38,23
31,27,32,35,14,15
29,25,35,28,25,22
26,32,18,35,30,17
21,28,35,21,28,26
22,27,31,30,24,18
28,32,29,26,31,19
34,33,21,31,27,20
27,30,31,35,24,23
30,29,33,32,34,23
32,26,39,34,29,26
38,31,30,29,25,24
32,23,27,27,33,28
33,29,23,36,29,18
37,21,37,29,31,19
30,23,25,33,31,29
27,34,23,28,35,32
30,38,36,23,36,23
34,28,37,25,25,29
25,35,26,19,39,26
31,30,35,32,31,21
31,25,21,28,30,32
30,22,28,33,30,21
23,25,28,26,37,20
26,26,31,24,29,23
31,25,36,37,30,28
26,34,33,28,32,26
32,28,28,32,25,20
30,30,28,30,30,21
39,41,34,38,43,17
35,32,28,31,28,24
25,29,44,26,38,41
28,28,34,33,29,22
25,24,29,22,36,16
30,29,30,31,22,16
33,30,35,31,39,27
32,27,19,34,36,29
29,21,32,26,21,19
29,25,28,37,31,25
35,29,32,34,28,21
37,29,37,31,36,26
34,26,26,31,37,28
28,31,39,34,31,32
32,16,24,33,18,21
24,29,26,34,36,14
20,26,27,25,25,14
20,29,18,30,24,28
22,30,35,29,30,25
31,20,36,29,24,21
31,36,38,33,25,18
24,31,21,25,22,29
43,28,42,32,37,29
34,28,32,39,20,27
27,26,24,19,34,21
28,34,21,20,24,26
35,29,30,34,24,19
30,26,22,32,29,27
29,34,33,29,27,23
35,28,29,29,24,22
18,32,24,33,30,20
24,30,27,24,28,28
30,37,32,40,28,20
36,27,24,37,46,21
33,27,27,21,34,14
30,24,31,23,34,13
31,30,26,24,42,20
35,32,23,36,23,17
26,21,35,32,21,23
24,28,26,27,29,20
25,25,33,31,32,18
32,29,36,29,31,22
25,19,29,28,22,24
29,23,32,38,31,14
33,31,25,35,31,19
33,27,27,36,36,26
26,24,29,35,39,16
40,26,36,31,30,10
33,35,23,36,43,28
27,33,41,33,32,25
31,25,31,30,26,21
35,22,18,22,25,33
40,27,34,40,35,22
25,23,28,33,37,29
29,27,30,32,27,22
26,19,34,36,38,14
34,38,32,44,30,20
37,27,28,31,33,20
24,29,39,26,25,29
31,38,29,34,35,19
33,27,25,32,34,22
20,20,36,23,28,21
38,40,35,30,30,19
29,31,34,28,28,24
34,32,36,30,30,23
27,36,24,35,39,21
40,39,24,30,37,19
41,32,27,40,32,21
35,34,27,26,36,14
22,35,29,30,45,22
25,26,30,21,27,19
