"v1","v2","v3","v4","v5","v6"
30,25,38,25,33,34
24,28,27,45,25,31
33,33,30,28,20,25
19,33,28,36,30,20
34,29,28,31,36,24
27,33,36,26,20,27
30,31,35,25,32,22
22,29,28,34,18,26
30,34,31,28,34,31
37,36,27,31,45,29
27,35,23,43,27,19
28,22,27,44,26,25
39,33,23,31,30,27
33,33,26,28,30,30
28,34,24,27,40,20
32,42,23,26,35,25
27,35,35,36,28,23
19,33,25,36,33,30
28,25,31,25,22,23
25,30,32,31,25,25
24,29,31,38,28,21
28,42,24,36,33,38
22,28,26,35,24,28
25,41,27,24,31,19
43,33,33,30,34,17
23,29,29,42,30,33
36,37,31,24,28,20
34,29,33,30,33,18
29,31,29,36,26,23
23,32,31,38,33,25
31,30,25,36,32,29
27,33,24,38,30,20
34,32,28,33,36,29
31,30,27,37,35,26
27,35,35,20,29,25
23,27,32,41,37,21
24,22,27,26,22,19
33,33,38,29,34,30
36,33,32,22,35,25
33,34,27,28,34,13
26,38,22,34,36,29
33,27,37,21,36,25
31,32,27,34,39,19
26,20,23,31,18,25
32,29,28,29,21,20
29,38,33,36,34,23
23,25,32,38,38,19
19,34,24,32,27,28
26,24,28,35,29,21
42,34,35,25,42,22
32,33,32,30,43,27
21,38,28,44,31,21
33,30,22,26,36,24
36,30,27,28,24,36
36,33,33,24,23,26
29,33,26,31,28,25
34,30,33,29,21,26
27,30,30,39,32,30
34,32,27,34,31,25
35,32,24,31,37,22
30,26,33,27,31,11
35,29,34,31,13,22
23,31,34,23,39,29
37,39,28,33,29,22
29,33,35,29,36,21
29,35,25,27,37,17
30,44,39,39,40,30
38,31,30,29,23,19
23,31,33,36,26,26
28,36,29,27,32,26
24,23,24,40,29,22
34,29,33,20,21,21
29,33,35,37,29,35
23,29,27,27,26,24
38,34,36,31,41,21
24,30,37,27,24,20
24,29,22,32,37,29
24,37,35,31,27,27
28,36,25,27,29,23
31,34,29,30,22,12
17,35,25,39,35,31
31,25,37,17,30,24
35,41,24,34,21,25
29,40,29,34,45,31
36,27,24,32,29,40
33,25,29,33,21,19
26,32,31,26,32,29
40,42,37,26,26,35
25,31,34,35,34,29
34,26,31,22,34,23
22,36,31,32,34,26
33,38,28,28,37,19
37,24,28,22,32,17
34,23,35,23,29,33
35,33,20,30,26,41
31,28,28,32,31,19
28,32,28,37,22,28
31,37,39,22,26,38
38,32,25,30,23,20
29,26,32,30,26,24
31,31,36,42,21,33
39,26,37,21,31,30
25,41,30,38,32,30
23,32,31,34,15,18
24,25,37,37,23,30
30,29,27,26,24,33
36,24,32,37,19,20
34,20,28,25,32,24
30,37,38,31,20,32
35,38,24,30,30,23
30,32,29,38,31,20
27,27,33,27,32,25
24,30,31,34,32,23
24,29,33,28,31,22
26,34,26,40,35,30
32,32,31,26,29,24
21,38,32,34,42,24
29,24,23,32,32,29
26,34,32,30,19,27
32,30,38,29,29,30
24,28,35,36,34,30
30,28,31,27,32,26
29,42,32,33,29,25
32,25,24,30,18,24
25,31,27,37,37,21
37,26,27,29,29,24
37,25,34,25,29,27
28,33,36,27,32,26
29,32,29,37,34,29
33,28,24,29,15,42
35,30,28,31,35,27
34,22,19,23,27,41
29,31,37,24,36,29
40,32,26,31,26,32
26,30,21,46,29,31
31,34,26,25,30,26
27,28,24,29,30,24
37,33,26,22,30,23
38,33,28,30,24,18
30,32,41,31,34,33
29,31,27,30,27,30
31,26,28,23,35,25
33,29,27,28,27,23
31,32,26,26,20,17
25,31,29,37,34,28
26,37,31,30,32,18
34,32,25,28,28,30
35,31,28,35,26,16
