"v1","v2","v3","v4","v5","v6"
34,34,30,21,38,24
16,29,40,22,29,28
27,30,36,24,28,22
30,29,30,23,38,25
38,25,33,33,24,22
27,35,32,31,28,22
20,33,26,23,32,29
24,24,26,35,29,21
29,29,24,38,40,29
34,27,31,31,33,26
28,20,26,18,22,22
25,27,35,30,18,21
30,26,35,38,24,18
28,33,28,30,24,22
31,25,28,37,28,29
27,29,40,29,28,24
31,33,25,18,38,25
32,28,27,26,37,25
33,22,32,28,33,25
38,30,36,40,37,19
30,29,38,33,25,27
26,24,27,29,33,27
26,35,30,28,26,27
31,21,32,33,39,32
25,29,31,26,23,34
38,29,32,36,27,23
23,33,36,20,27,21
31,36,37,27,33,20
33,31,45,35,24,29
31,40,29,35,31,19
28,32,23,25,30,24
29,37,33,31,37,19
31,30,30,34,36,23
35,26,35,34,21,26
27,33,40,26,36,25
22,42,34,24,29,23
33,28,35,32,27,22
29,34,38,27,23,26
30,31,37,30,31,23
31,24,34,30,25,27
36,35,30,38,19,26
31,28,31,32,37,29
36,31,27,38,33,22
28,30,35,38,25,22
35,32,21,32,37,35
30,25,29,27,20,20
40,30,37,31,37,19
19,35,40,32,30,22
32,39,31,27,37,22
38,29,32,36,32,24
31,35,31,32,34,29
27,26,32,31,28,20
34,33,36,31,35,22
33,31,30,32,33,22
29,33,33,32,39,21
28,30,32,28,27,19
41,39,31,32,40,21
30,28,30,33,24,17
29,36,25,35,40,28
35,40,28,35,44,26
25,29,32,25,23,27
26,32,34,32,29,31
32,32,35,35,28,20
28,34,34,19,31,14
28,36,33,32,36,27
40,30,39,40,31,30
28,27,37,29,31,28
33,29,26,31,37,22
36,27,32,32,30,27
23,34,30,24,28,27
26,29,32,26,25,23
32,34,29,34,39,22
35,29,33,27,21,25
29,30,31,22,30,15
27,25,40,31,34,36
28,28,30,27,33,20
37,31,28,36,22,27
23,25,25,32,27,23
39,29,21,39,24,28
21,33,30,27,31,17
27,37,35,32,43,16
28,30,29,23,22,21
28,32,29,21,29,19
26,28,33,32,15,13
33,34,36,33,27,26
26,30,31,31,32,24
28,30,35,36,33,19
21,29,38,27,34,29
28,25,34,32,32,12
27,16,36,21,20,18
26,30,24,36,30,27
40,29,26,38,37,33
29,27,28,35,18,16
32,25,28,23,28,16
38,33,38,34,26,20
31,24,33,24,22,20
33,18,27,26,29,30
35,28,33,32,24,22
30,32,32,38,36,22
34,28,26,41,28,22
35,38,29,31,34,26
22,31,34,20,32,18
24,35,36,25,18,30
31,38,31,34,29,14
29,30,32,37,37,22
34,31,36,37,34,21
39,27,35,31,29,26
24,33,27,32,39,20
24,25,32,28,17,13
35,31,28,30,26,20
34,32,32,32,26,16
24,31,26,37,27,26
32,33,30,26,32,18
30,30,36,25,40,25
32,29,28,30,36,17
34,34,24,32,32,30
31,27,32,41,24,29
31,37,22,35,31,27
37,32,33,29,30,20
33,25,32,28,34,18
39,32,25,36,33,29
29,28,29,32,21,23
27,39,30,35,31,13
26,35,30,34,31,19
29,32,31,21,30,19
23,40,31,31,32,24
32,31,29,27,28,22
29,39,29,21,38,29
33,32,38,36,22,29
29,28,29,28,29,19
29,30,34,25,34,19
36,28,34,30,30,17
24,27,28,30,43,17
36,32,38,28,29,26
41,26,29,39,26,22
24,35,39,32,22,27
31,33,23,19,30,28
23,19,41,29,26,28
28,19,26,35,21,15
31,37,41,25,35,36
30,31,31,30,31,19
32,36,25,30,33,26
29,29,25,28,25,25
34,22,32,23,30,19
35,28,33,25,35,13
24,27,31,22,32,20
37,33,31,27,33,33
29,34,38,30,29,23
36,27,30,38,23,23
26,37,30,24,35,27
24,22,38,21,30,22
34,20,25,31,32,18
23,24,29,26,36,26
28,33,25,27,25,27
27,28,30,34,28,22
36,32,31,31,29,20
30,33,30,28,30,27
40,28,31,29,35,21
22,27,36,23,22,20
35,25,23,24,38,28
33,29,34,30,40,17
30,28,31,31,18,24
31,32,34,29,29,30
36,32,31,30,32,18
27,33,28,34,27,24
35,30,28,40,46,23
24,35,20,26,20,20
33,26,32,32,25,15
33,27,30,34,20,31
30,28,31,36,35,26
35,31,27,35,31,26
29,32,34,29,31,27
23,27,28,20,32,29
30,24,33,32,30,22
24,35,29,31,31,19
33,37,32,31,37,16
29,27,30,34,29,12
32,32,29,32,23,21
37,33,34,26,29,29
23,35,30,34,34,18
31,35,32,27,29,29
29,39,30,27,28,23
27,31,32,32,38,22
29,38,38,34,24,25
27,27,31,21,43,28
31,32,37,29,30,23
33,32,26,35,38,28
30,33,37,20,30,19
34,30,40,34,34,27
23,32,27,38,38,14
39,34,34,29,29,22
25,33,29,30,36,17
29,42,23,38,31,34
36,32,28,32,28,21
37,24,21,39,21,29
30,37,28,27,28,19
33,40,35,31,31,21
27,25,28,22,31,20
32,27,21,35,30,23
30,36,29,22,37,26
34,40,29,32,38,27
36,34,38,34,28,26
38,38,32,29,32,12
28,29,35,21,30,31
33,30,25,26,25,24
25,34,37,35,30,26
25,31,25,30,31,24
39,30,28,32,31,25
22,30,32,33,35,20
35,26,34,36,33,23
28,31,34,34,30,18
31,27,32,35,33,22
34,34,36,36,28,25
32,29,27,36,30,17
40,29,27,34,27,28
38,28,37,36,36,27
38,22,37,29,22,18
33,28,35,38,31,24
27,25,38,34,24,27
26,27,37,35,19,24
29,21,30,35,18,30
37,27,36,32,26,28
26,26,36,31,16,18
29,33,25,32,26,32
35,38,30,32,23,16
34,36,35,30,34,30
29,27,35,35,32,18
26,34,22,33,26,21
30,35,33,26,41,28
27,34,31,39,30,25
24,35,38,32,25,24
31,37,32,36,31,23
34,26,40,34,26,24
31,23,31,30,21,30
31,27,35,34,27,21
29,35,32,30,21,17
27,26,32,31,29,15
23,37,36,26,26,26
35,28,35,29,35,31
24,39,30,37,21,24
22,37,28,27,30,20
26,30,25,31,33,17
33,38,31,28,46,25
31,30,18,37,30,43
41,24,34,31,25,22
29,20,27,29,29,22
35,27,31,28,25,23
36,35,30,31,29,21
35,30,32,32,33,13
27,32,39,35,33,29
32,33,33,36,23,23
